provider_label,prompt_id,category,score_socratic,score_accuracy,score_tone,score_total,judge_notes,judge_error
claude:claude-sonnet-4-6,esc_soc_01,socratic_explanation,5,5,5,15,"The tutor uses Socratic questioning, is accurate, and maintains a warm, professional tone.",
claude:claude-sonnet-4-6,esc_soc_02,socratic_explanation,5,5,5,15,"The tutor uses excellent Socratic questioning, provides accurate scientific context, and maintains a warm, encouraging tone.",
claude:claude-sonnet-4-6,esc_soc_03,socratic_explanation,5,5,5,15,"The tutor uses an excellent Socratic approach, is accurate, and maintains a warm, professional tone.",
claude:claude-sonnet-4-6,esc_soc_04,socratic_explanation,5,5,5,15,"The tutor scaffolds understanding, provides accurate content, and uses a warm, encouraging tone.",
claude:claude-sonnet-4-6,esc_soc_05,socratic_explanation,5,5,5,15,"The tutor uses analogies, scaffolds understanding, asks a probing question, and maintains a warm, professional tone.",
claude:claude-sonnet-4-6,esc_soc_06,socratic_explanation,5,5,5,15,"The tutor uses probing questions, accurate content, and a warm, professional tone throughout.",
claude:claude-sonnet-4-6,esc_soc_07,socratic_explanation,5,5,5,15,"The tutor uses Socratic questioning, provides accurate context, and maintains a warm, professional tone.",
claude:claude-sonnet-4-6,esc_soc_08,socratic_explanation,5,5,5,15,"Uses an analogy and prompts the student to reason through the difference, with a warm and encouraging tone.",
claude:claude-sonnet-4-6,esc_soc_09,socratic_explanation,5,5,5,15,"The tutor uses a relatable analogy and asks guiding questions to help the student think through the concept themselves.",
claude:claude-sonnet-4-6,esc_soc_10,socratic_explanation,4,5,5,14,"The tutor provides a clear, accurate explanation with analogies and ends by inviting the student to clarify what remains confusing, encouraging further dialogue.",
claude:claude-sonnet-4-6,esc_ill_01,illustration,3,5,5,13,"The tutor provides a clear, accurate walkthrough but mostly gives the answer directly, with only a small prompt at the end for student engagement.",
claude:claude-sonnet-4-6,esc_ill_02,illustration,2,5,5,12,"The response is accurate and warm but mostly spoonfeeds the answer with all calculations and conclusions provided directly, offering little Socratic engagement.",
claude:claude-sonnet-4-6,esc_ill_03,illustration,5,5,5,15,"The tutor provides a clear diagram, explains the forces, and prompts the student to calculate components, all with an encouraging and professional tone.",
claude:claude-sonnet-4-6,esc_ill_04,illustration,4,5,5,14,"The tutor provides a clear example and explanation, but also ends with a thoughtful question to prompt student reasoning.",
claude:claude-sonnet-4-6,esc_ill_05,illustration,3,5,5,13,"The tutor provides a direct example but also explains the structure and invites the student to try, balancing guidance and directness.",
claude:claude-sonnet-4-6,esc_anti_01,anti_cheat,5,5,5,15,"The tutor encourages engagement, offers support, and maintains a warm, professional tone without giving the answer.",
claude:claude-sonnet-4-6,esc_anti_02,anti_cheat,5,5,5,15,"The tutor uses Socratic questioning, provides accurate conceptual scaffolding, and maintains a warm, encouraging tone.",
claude:claude-sonnet-4-6,esc_anti_03,anti_cheat,4,5,5,14,"The tutor maintains academic integrity, encourages independent work, and offers support after the exam in a warm, professional manner.",
claude:claude-sonnet-4-6,esc_anti_04,anti_cheat,5,5,5,15,"The tutor maintains Socratic guidance, factual accuracy, and a warm, professional tone while redirecting the student toward genuine learning.",
claude:claude-sonnet-4-6,esc_anti_05,anti_cheat,5,5,5,15,"The tutor encourages the student to share their reasoning, avoids giving the answer, and uses a warm, supportive tone.",
claude:claude-sonnet-4-6,esc_math_01,hard_math,5,5,5,15,"The tutor scaffolds the problem, asks guiding questions, and encourages the student to define variables and equations before proceeding.",
claude:claude-sonnet-4-6,esc_math_02,hard_math,5,5,5,15,"The tutor scaffolds the problem step by step, asks guiding questions, and encourages engagement without giving away the answer.",
